cleaned-reviews,topic
place friend lunch experience food reason 4 star rating time visit review,service
place afternoon one place dust place construction work experience 2.5/5,place
zero rate one bcoz way food three starter chicken starter stock chic experience wasting money face pouting face,service
ambience rooftop hand food price ipl attention one face time experience visit,service
afternoon place pic seating starter hour service,service
roof top drink food mark subhash guy ambiance place food drink place,place
food drink guy care man,service
place food drink hour menu place roof top service 7 face eye,service
place today rooftop place ambience ipl screening food dj service tad bit resemblance place weekend strat ipl season place look crowd prawn chicken popcorn tikka papad quantity change bunch crowd beer champagne group place ur pocket,place
place friend roof view food staff,service
ambience food experience 500 buck entry cover bill music number item menu service hope rating miss one classier experience,service
one star zero star option one place one bartender waiter bar time,service
hour drink beer service staff clue stock hour,service
place 7 week ambience seating rooftop heart exclamation mojito 5/5 4/5 sunrise 4/5 mocktail starter 5/5 fish 5/5 sauce dip chicken spring roll 5/5 kabab 5/5 onion ring spicy sauce 5/5 starter flavor hand place course pizza 4/5 pizza rice chicken stroganoff 5/5 rice dessert ice cream 5/5 place ambience rooftop restro weekend fun 5/5 taste 5/5 service 5/5,place
instagram page ambience arrangement roof top people party place service accommodation 50 60 mocktail mocktail sunrise chicken marination garlic ingredient tandoor spice fish fish spice peprika powder soya lemonjuice sauce crispy kabab chicken drumstick marination tandoor chicken spring chicken veggie spice roll flour sauce crispy tasty onion ring sauce onion ring marination mixture spice bread crumb sauce course chicken lot veggie cheese pizza sauce chicken chicken stroganoff chicken olive mushroom veggie gravy pesto cream chocolate brownie vanilla ice cream,place
place evening drink food range hour terrace pub food quantity gold drink,service
one place buddy place hour quantity quality food service,service
page pourhouse7 rooftop bar ambiance bird eye point view music screening seating arrangement convenience service staff mocktail sunrise appetizer mirch tikka pepper cardamom chicken skewer marinade tandoor spice rustic fish flavour texture crispy chicken spring roll roll chicken veggie taste crispness point pizza pizza cheese chicken veggie taste presentation kabab drumstick spice perfection term taste onion ring onion ring batter crust onion spicy sauce course biryani biryani egg omelette chicken taste rice chicken stroganoff rice pesto herb chicken stroganoff chicken breast cream stroganoff sauce vanilla ice cream syrup treat taste bud experience thank staff hospitality,service
place friend mine service one bartender night waiting time service food section fry 9 pm 10 pm visit pourhouse7 dancing base,service
three people staff one one dish 25 30 minute order 5 table staff toilet location toilet door place piss place drink owner manager problem,place
roof bar ambience view cityscape service budget mocktail place partying weekend friend colleague food menu dish receipe friend lunch mocktail time friend mocktail sunrise taste one dish tasty hottt fish taste taste favourite chicken spring yummy taste alottt taste guy pizza pizza taste sauce rice chicken stroganoff rice taste chicken stroganoff rice onion ring spicy sauce sauce taste lunch menu 4 people dessert ice cream ice cream brownie place partying weekend friend music play list weekend song music place,service
place 9 atmosphere crowd bottle shot side kernel accompaniment alcohol time place newbie town set guest dj night,place
page hydfoodiesister woman hand 7 bar ambience place friend club rooftop bar seating bar setup painting wall mocktail rest lil improvement soup food starter paneer paneer ring fish heart yummyy size term taste course course dish dessert ice cream chocolate sauce presentation experience place visit,service
place weekend chilling dance floor dance floor dancing girl couple section dance floor food service,place
rooftop place food dance floor party peanut fry 4/5,place
gachibowli one place day company hub place house 7 one pub one weekend evening roof ambience place evening group friend experience mocktail variety sunrise lichitini sunrise way chocolate lover chocotini brew starter haryali paneer tikka crispy corn item sea food starter butter fish onion ring presentation starter tamato sauce combination course biryani egg omelette meal brownie ice cream staff place evening time,service
pour house place showroom place two floor setup dance floor party lunch one roof ambience party setup lunch paneer tikka cylindo chicken chicken taste paneer presentation hand hand fish one portion khalifa onion ring onion ring house sauce course pasta chicken basket gravy tender chicken piece biryani hyderabadi biryani try,place
one bar ambience seating arrangement rooftop seating arrangement lunch session mocktail one variety menu mocktail 8 mocktail soup:-it taste •tom one starter •nazakat kebab:- mayo paneer color •wakto taste taste paneer:-soft item one taste chicken crispy mayo top course biryani:-one biryani one lover taste buttery taste bread kind heart one place ambience pocket price staff mocktail,service
7 showroom place seating club rooftop bar section bar painting wall entrance leather sofas lighting rooftop area brick wall chairs/ table tree pot dj screen guy heat cocktail view city rooftop friend day lunch appetizer malai broccoli cheese cashew paste tandoor 4/5 chapa- fish fillet masala perfection curry leave chilli 5/5 chip piece chicken bean corn veggie guy favourite 4/5 fish fish fillet strip bread crumb crispy outside inside fry mayonnaise 5/5 chicken chicken skewer olive oil spice 4/5 masala crispy medium 3/5 sandwich bread veggie cheese flake place miss 2/5 course- chicken rice piece masala dish omelette onion term taste presentation biryani 5/5 spaghetti aglio e olio veg olive oil olive flake 4/5 nawabi chicken tikka veggie mayo topping base pizza 3/5 w- piece chicken lettuce veggie mayo two bread fry salad ish 3/5 drink mocktail 5 saviour staff 4/5 4/5,place
place couple week buzz city place paneer tikka whixh vegetarian delicacy paneer fish gravy piece kudo chef mazedaar favourite taste maincourse 7 biryani chicken masala topping crispy onion ring sauce showstopper day dessert brownie ice cream place,place
one rooftop party place vicinity tech weekend ature delicacy top ambiance skyline view rise building surrounding mocktail mocktail manager feedback shake starter 7 house crispy outside spice appetizer sauce maincourse sauce ice dessert experience place lunch dinner package option people party lunch dinner,service
today place 7 place indoor rooftop rooftop seating view area seating party space group food mind bunch item majority let look item appetizer course dessert tasty taste crump fish curry leave seasoning flavour dish stick item one chicken amount seasoning top chicken tender seafood good bowl lot cheese salsa seasoning sandwich aalishaan amount chicken pizza topping lot chicken cheese name side pizza base pizza base dish topping platter fry fish finger fry starter two course dish 7h e olio love biriyani biriyani flavour biriyanis ingredient spaghetti favourite dessert vanilla ice cream dessert section choice moctail mark moctail one mocktail litchi one one pinacolada one place food ambience drink improvement that review place,place
service one place service coming.first time experience,service
15th rating 1 today service table bar one order hour staff thing service table dj maintainince place order glass water 40mins manager table supply cutlery people waiter music place one guy soo experience place time mention menu penne pasta texture chicken wing good drink thing place stock place seating seat knee move music dj volume peak dinner hour colleague table,service
pizza rest taste cheese fry mushroom best.price dish,service
rooftop location ambience service service manager time product availability product choice,service
place friend today food place ambience service review place,service
place budget food ambience group friend fun area table 2,service
team party terrace view music food keycap keycap service keycap place team party,service
service service hope place ambience place,service
night staff food place bday celebration party location pub ambience,place
place weekend weekday place staff server fellow suggestion,service
place staff peace music drink paneer shole,place
place work beer food service place,service
fun rooftop dining experience place moon night food ambience restroom hygiene check place,service
instagram survivingforfood food alfredopassta mozarella cheese chicken pizza food rooftop place 30 count place bollywood night kindness customer food 5 star️,place
place ambience music mind food drink face heart eye,service
staff behavior ambiance place friend hangout date cocktail service,service
place party olace budget place service man,place
ambience roof top service dharmender place night party,service
place rooftop setup one place visit food price booze gold place cheer,place
4.1 night service lil music smoker pizza cube onion,place
place friend place night life view roof area place dinner weather soup chicken manchow soup coriander soup soup evening mocktail madness sex beach starter tawa fish paneer tikka mouth broccoli favourite place course dessert chocolate brownie ice cream experience place ambience starter place view,service
rooftop place view side ikea club floor rooftop view weather chill wind jacket evening place cocktail mocktail masala starter improvement chicken manchow soup coriander soup place order bar favourite night department broccoli course chicken leg masala chicken tikka soo tasty combination rotis place lot handful starter rest care money-3/5,place
7 rooftop seating squarevirgin ok squareorange yummy soup squarehyderabadi one crowd pleaser squarelahsuni paneer tikka flavor squaretandoori one lemon marmalade course squarebutter squaremurg good dessert side crispy room lot improvement food ambience music feedback work,service
food waiter subash presence ambience place.time,service
ambience system music level cocktail bartender cocktail shot club party world,place
concert 2019 ambience design one kind place party friend security evening thing pizza,place
place service sound paper bursting thing end trend club place waiter bouncer night care,service
place place place event craziest crowd event place pashaa log place face price,place
place nucleya event v place service place crowd issue,service
event place club prism team 3k people night 5/5 food 4/5 4/5 4/5 place,place
place music djs food drink ambience sound light effect one place place level,place
reception 7 hour stag entry fee 9 entry becaue apptetnyl reception attitude trip experience,service
place hyd pub hyd crowd service network issue card cash,service
place feel pool party time year place party,place
place setup one kind crowd experience hospitality courtesy uncle snobby bouncer crew,place
place time food cocktail light ambience music con bit song,place
club lighting house food mention server service place party animal,service
drink time place service one,service
prism place dance floor heart lighting vibe place mind face sunglass place socializing#arena sign horn,place
place world capacity place mind house beat foot show duper hit space food veg farm pizza roll bit college kid 30 40 50 ambiance music flaw,place
place service shout care,service
place place food drink employee guy look way service,service
place food music ambience service place weekend face,service
attitude display staff manner guest food,service
lot place chance reaction confusion booking 8:30 pm sense table 20 min manager reservation wife table eye opener point one place lighting floor service drink price side drink platter place point place customer place property right,place
one club lightning music food pocket side,place
place one favourite night place dance floor light part place dj crowd cherry icing food drink place party person,place
attention one club day ambiance dope move music food restaurant style place partying fun,service
time place food place friend patience hospitality,place
place food thank guy event,service
place music party dance floor effect crowd,place
place 3 occasion weekend weekday seat weekend entry couple stag bill pro ambience 2 dance floor 3 music 10 pm week day food con sitting dress weekend service drink dent pocket,place
service food party value,service
night club hospitality service dj artist basis shoutout house ambience tune confetti smoke gun treat centre lighting piece dance floor kind crowd experience people taste music owner job night life culture staff toe party freak music drink place breathing room problem washroom,service
place district dance floor team night deck place doubt one dance floor system prop ambience 2 level seating ground floor group couple deck sofa set group food starter paneer tikka baby corn chicken tikka greasy course mark thing place service person course 8.30 pm hour course course time follow up 10 pm experience 1 star 2 ambience food 2.5 1 4,place
prism owner club space place turn hotel clue road help sign word bush 100 parking yard premise velvety door arena lack word dance floor place table dance area couch side staircase lounge kind seating one part seating projector match screening smoking zone pool gathering club expert system one evening job place food offer diamondstarters bit bit diamondpunjabi paneer place other taste diamondprism star dish crust amount cheese price bit dish diamondspaghetti take spaghetti aglio mushroom olive topping bread main lot dessert downer mocktail section bet twist shake inclusion kitkat comfort shake party place setup crowd ambience bet food bet pizza pasta value money alcohol place,place
pub pub term area way parking space pathway monkey figure music pub glance building light ambience two floor ground floor dance floor pub area dance floor chandelier led ring grooving beat music wall light seating match head dance floor food r 325 cube paneer mustard curd base lot improvement dish 275 kind spring roll corn garlic cheese taste balance flavor issue crispy bit main main curry flavor flavor pepper sauce crust pizza cheese veggie zucchini course served pizza taste marinara base pizza trick bartender curry drink cucumber coriander mocktail flavor tinge coriander blend chocolate box chocolate shake dish course place term food place night life food 3/5 5/5 4/5,place
one club place 1 space 2 term area section seating lighting console smoke area swimming pool space party gathering parking dance floor lot club get bar counter barman juggling skill eye candy experience variety drink part bit finger food party plan 1 food price staff bit training term hospitality mood smile lot thing starter taste thing papad roll chutney roll corn chilie cheese list fish finger chicken farm pizza topping pasta paneer tikka place partying event management hit crowd lot neighborhood theme partyholic blast place guy,place
evening club place city district area poolside sitting floor screen dj lot entertainment place food experience tikka roll tikka flavor notch onion salad mint chutney dish shot fish finger palate side dip dip option dish night flavor flake tender spice mix chicken roll disappointment oil filling crust roll drink drink experience kind drink place main vegetable pepper sauce pizza sauce pasta vegetable pepper sauce outlet taste pepper sauce guy pizza consistency dish work place setup potential food place partying eating,place
experience place number 6 pm person call behave 6 pm 6:30 pm staff way customer confirmation hour table customer seat crowd manager person attitude seat manner plenty table irritation lighting order drink friend friend way people customer mosquito picture mosquito head course frustration food order order 20 minute cheque bill place experience place customer,service
place party experience light music night fun,place
prism place face heart face eye event thumb time holi hand decor face heart eye face sunglass bit rush ticket entry superb star experience,service
killer sound system food group friend gala time sher day frenzy madness vibe,service
65 taste,place
food music cocktail place space,place
place party dance floor music one pub food good staff service,place
time place review work place dance floor area pool area garden area place event hilight tribe vip entry book show app entry band wrist prism manager bouncer area den bar counter 3000 rupee vip entry ticket area bar manager two table 10000 table book show app tat table vip area gal vip area gal safety crowd call table calll f manager waiter call question people call work ur manager money vip crowd tat area place ticket book show table amount people drink food place one money work owner place crowd u charge hope change,place
pub food place party dance floor music bass staff,place
pub city balocony terrace pub city food chicken starter chicken 65,place
place entry fee cover charge wasabi prawn wasabi order cinderella tail one table hour table mosquito citronella stick dance floor dj sweaty guy,service
place pub weekend party edm bollywood hiphop place blast kind party job foot impulse,place
ambience face heart eye nd drink fire place face heart eye light centre attraction heart heart heart,service
place year month place hyd evryone place whr food music whr bestpart place lightning beauty,place
pub place food couple waiter lighting highlight place,place
ambience club place party paneer broccoli bean sauce tandoor mushroom sauce pasta pizza food place final waiter charge,place
food drink ambience dance floor pub hyd ajay experience,service
place ambience livelihood decor place disappointment music food service server deepak thumb heart suit heart suit heart suit heart suit heart suit heart suit,service
place light view place tune party mode service thank deepak care table service time,service
place ambience food service champ,place
place night club alot vijay service food music dance floor place ambiance,place
bunch dancer night ambience two heart prawn veg platter face heart eye shrimp light dance floor,service
place farmhouse music dance floor light tune girl guy tune alcohol class gentry class people place party place place host party event place one place,place
place ambience guy experience weekend,service
place friend ambience interior system food drink music lineup icing cake music lover,service
night place lot fun waiter,place
place bucket list time space service experience,service
place night service food ambience music place night,place
prism night place friend time dance floor ambience staff prism,place
place party dance floor infact one pub food space light party ambience manager pub,place
place bucket list time week colleague pub light atmosphere dj food price side quality taste,service
group weekday experience attraction space light mood weekday mix hollywood bollywood song taste food problem order 40 min order discrepancy bill day amount price side partying,place
club party weekend light system drink highlife bar sound system poolside party word,service
fun environment one pub service,service
one pub ambience food lighting system show place party à pub city,place
ambience superb music place bit place place evening party,place
place space table dance floor light hyd number,place
one club dance floor led staff playlist visit,place
place staff service thank day place ambience music nd dance floor,place
one place weekend food beverage music crowd,service
service place time lot deepak service revocation visit,service
one place service ambience world r playing circle light floor liquor price money prism,place
outskirt staff entrance customer hype,service
thing area size club club experience music food service interior area attraction light music beat dance floor dj 5 4.5 snack 5 5 5 parking space valet service,service
place ambiance one party place part place table guy service chicken food club restaurant quality,place
place today area food ambience hospitality space party poolside bar counter,place
place music place cinema theatre food lighting service thing end day club feel club,service
ambience food music politeness place table two night reservation two place table reservation one three head bar service table place light nightlife food option plenty food liquor front,service
place outskirt place 1st dj 1st 2019 office team seating crowd club food service crowd staff superb tune smoking zone experience,place
place property staff service crowd seating thank prism team specail thank thank night music service,place
food starter location service part ambience roof light shape music,service
office party week ambiance light dance floor food,place
place chill party 2018 gig time food ambience people time,place
one pub ambience lighting sound 03 feb-2019 track beat night,place
pub ambience price,place
place love bee music city staff thing city,place
skirt place week end space ambience effect system,service
pro dance floor lighting screen ambience dj con culture table table place bar counter one space space bar counter bar tender space food entry fee 500 cover charge place food drink dancing place city dance floor music,place
one club pearl city ambiance dance floor bhoom place bunch gig bar counter food smoking zone lol one victory hand,place
night round 10 pm space space cover charge business one thing sense 500 buck entry item price business snack one hand party mood concept entry responsibility seat couple group track moment 1200 two ppl face tear joy place 2k buck pocket place class people face,place
one club light experience extravaganza place,service
food masti price atmosphere place youngster beer freak pitcher splz tankx splz item,place
place ambience music dj song energy place drawback place,place
cover charge place defuction?are service charge,service
weekday ambience mind light good way food drink chicken 65 onion ring fry punjabi song place food drink,place
food masala taste 3 type place people rice restaurant number use,service
food 7 pm delivery guy quality food dhaba logo bill 06:35 pm,place
delivery food taste food order restaurant,service
paneer biryani taste quantity excise oil,service
quantity food manchuri,service
roti gap 10 day time food order time disaster food roti,place
mushroom,service
date kind taste dust order 5 kaju piece,service
food quality stock food stock food item fault behavior,service
salt food,food
guy food oil cooking health eventhougj food experience,service
food.i quantity onion lemon given.dont money,service
restaurant veg near room interior,service
one zomoto guy platform,place
oil half container oil chapatis tooth stone quality food health oil oil dal paneer month,place
class food providing food food dont dhaba life food,food
mushroom pander curry mushroom curry taste order mark credibility,service
rotis,food
food delivery food tasty,service
food money quality 20 delivery quality,place
food restaurant dhaba branch,place
mistake restaurant option biryani food food,service
paneer butter masala curry lot food color oil two naan one naan,place
quality veg vegetable shree daba restaurant road side packing,service
family restaurant taste food food restaurant,service
food quality average onion lemon onion lemon pack food quality,place
food 1286553601 one waste money money,place
taste curry,service
piece dish,service
veg rice rice,service
paneer money waste restaurant,service
order food,service
paneer masala,place
waste money,service
taste paneer taste,service
food bit,food
time place,place
order money service dhaba,service
order way time,service
mast,food
one place food food,place
butter milk waste,service
half rice masala rice,place
food food i'm baby corn manchuria,food
spice,place
biryani life one,service
food time order restaurant restaurant future,service
offer,service
fuck 4 butter rotis 4 roti paneer,service
food 100%veg rating 3.5/5 3.5/5 3.5/5 3.5/5,food
food glass side place place couple rice quantity price dinning thank guy,place
place seafood platter oyster sauce thank chef thank,place
ambison food service staff noodle chicken agen togedar party,service
staff food thing inshallah lobster seabass oyster sauce chef,service
place hyderabad food item vegeterian spring roll noodle rice,service
authenticity seafood chicken corn mushroom rice bowl noodle,place
place food ambience ambience staff veg machurian ball concern staff staff veg manchurian version food cuisine dimsums/ garlic rice veg,service
place lunch mom dad ambience lot place chicken coriander soup prawn rice plate chicken prawn bit soup rice chicken taste 1400 light meal place,place
dinner 1 chop suey star️ star️ 2 seasame chicken starter one favourite garlic sauce crispy rating food star️ star️ star️ food chicken,service
place disappointment taste price rubber chicken honey chicken crispy thr quality taste,place
food justice craving bamboo rice wow complement reason 1 star,place
food service weekend lunch ambience money food,service
place dish portion size dish dumpling noodle course staff service,place
interior location restaurant food place room item satisfaction,place
yesterday night friend 10 pm starter course veg noodle food part food bill food service,service
switch phuket fish noodle fish noodle tasty restaurant south dish influence,service
wait restaurant 50 offer thing soup one tasting soup butter prawn restaurant surprise butter garlic prawn hint butter experience piece -+ crapy reply chef item prawn liking drumstick chicken dimsums noodle item chicken drumstick coating noodle vermicelli noodle chow rice chicken experience offer 50 shout dine team offer suggestion restaurant change restaurant thank,service
food quality taste notch staff seating ambience outing,service
time food soup sum basket noodle ice cream item try food place experience egg fu coarse pricing food ambience meal place budget cheer face,service
restaurant complex reliance trend gachibowli chopsuey place,place
chicken soup fish starter chicken rice chicken food staff restaurant,place
restaurant 5 time noodle vegetarian crispy corn paneer lemon coriander soup u order sun experience,service
one food starter taste chili noodle mushroom gravy course place ambience staff dining experience family,service
one satay 1 waiter service money 100,place
ambience staff restaurant menu lot variety 2 starter rice dessert food time food experience place,service
ambience restaurant staff hospitality service crab meat soup fish sizzler wok chicken hakka noodle food value money meal restaurant,service
decor restaurant part kitchen cooking procedure starter drumstick course lot dish bamboo rice chicken sauce food ice cream dinning experience foodie,service
one restaurant city cuisine dining experience ambiance hospitality prawn chicken dim sum noodle dish family restaurant restaurant,service
ambient service place food style food item,service
today 19th 2018 veggie noodle food quality 3rd 4 th time item order taste time quality food,place
place food staff chef place family friend suggestion rice cream yummm,service
service hour order 2 table one answer delay eating experience place,service
quality sea food noodle food quantity restaurant,service
noodle noodle dish amount meat piece egg day,service
food place service ambience,service
dinner manchow veg paneer rice noodle vegetable choice sauce veg soup paneer rice gravy time ordering service restaurant good order experience,service
date girl reason home place restaurant basement parking issue road point concern parking restaurant stewardess order woman woman arrangement chair chicken drumstick starter dish kid chicken drumstick plate perfection girl course veg dimsum chicken dimsum dimsum wrapping filling dimsum sauce honey sauce sauce dimsum mix mix egg chicken seafood girl taste dessert chocolate ice cream pass food noodle dinner girl dinner place husband place chance place visit place yesterday afternoon snack dinner fish kid chicken drumstick chicken satay lemon chicken soup baby corn stewardess batch place food,service
vinegar sauce soup,service
pan noodle spice pan noodle box noodle box soup vegetable description dish menu dish menu noodle specialty,place
noodle chili taste,place
place night place wonton starter veg soup course chicken choppsuey promotion drink mint flavor,place
food time time chicken rice chicken coriander soup price,place
area place service starter noodle pinch pocket,place
dimsum suffing mark curry flavor,service
curry 600 rupee aaloo curry chilli life,place
flavour food quality quantity,service
place evening smile name restaurant word rice momo's food service place food,service
order food food quality destination food craving,service
experience term food experience time dish add food outside food process people patience food exp,service
dish flavour dish rice veggie starter 2 variety one one 1 rice quantity two noodle rice two starter curry group 5 experience food restaurant,service
place part dinner place friend taste food stone soup stomach body 73 discount waiter stone bill discount discount bill,place
ambience staff smile day service food chicken dimsum egg rice,service
friend evening craving food ambience service sizzler chicken noodle dish food,service
time place two experience food quantity time disappointment food fish platter three pad variety veggie ambiance waiter hope way,service
chicken corn soup veg rice rice chicken soup chicken corn soup taste quality,place
sugar,service
liking,place
taste food dine food food roadside noodle,service
spring roll rest mushroom flavoursome pad thai peanut flavour spring onion gun powder sauce noodle container taste sauce quality container packaging,service
gooood,service
vegetable chicken,service
quality quantity check counter vendor lot scope improvement,service
stone food,service
service food vegetarian food item show food ambience staff management place,service
ambience food 4 yr kid,place
broccoli baby corn gravy,place
today three colleague lunch ambience waiter customer business lunch two one chicken option sea food option four appetizer shrimp fish chicken two sea food dish rice noodle course chef waiter woman lipstick outfits expectation,service
food place wait staff food taste ambience place meal,place
chicken prawn dimsum starter course chicken dimsum prawn crispy disaster,place
food packing oil veg food cover veg food,service
crispy time dipping chutney,place
expectation regard quality quantity taste,service
momos delivery order,service
food plastic cutlery,place
soup soup quality vegetable paste,service
one restaurant city area paneer chicken choice starter momos filling rice noodle ice cream choice slow,place
choupsey gravy bit,service
nd,food
food quantity 1 person,place
quantity plate price,place
waiter half order item customization chaos food side thupka speciality try corn soup powder,place
chicken rice topin,place
noodle gravy mushroom baby corn noodle lot cauliflower onion half gravy taste lot oil lot eggplant,place
veg noodle garlic rice,service
biryani one 3 people rice jus yummy face heart eye place dlf lunch dinner,place
lunch veg quality food quantity biryani nonveg,service
chicken place taste mark place 3 4 time taste tandoori chicken place,place
lunch colleague farewell avg ambience sofas food taste reason restaurant,service
taste flavour ambience service,service
biryani food price zomoto order time,place
staff plate one experience food food taste food ambience way service,service
speciality restaurant signature frontier dish dinning experience decade place food place city richness dish care experience,service
service food chicken one drumstick customer fool cash ppl team servant,service
ambience order table becoz tummy,service
time deli,service
10rs bulshit 10 packing face horn chicken piece biryani tast flavour,place
tasty quality quantity time quality sooo value,service
book prawn chicken bone chicken piece,place
place setup pricing hotel restaurant ambience table chair taste service look restaurant,service
place taste quantity order chef,service
place piece chicken chunk chicken biryani one piece,place
food spicy,place
time thank,service
quantity chicken piece customer 50 60 percent order .it,place
spicy masala,place
one chicken piece shame,service
communication,place
butter milk,service
masala onion week masala rice,place
goood,service
agent time,service
peace,service
food piece biryani,place
place time place team lunch dinner restaurant employee biryani service bit lot time food table one time visit food 3/5 ambience- 3/5,service
taste piece,service
rice quality rice,service
quantity two people fish,place
quantity starter,service
delivery 10:50 pm 9:45pm biryani serve,place
food 4 piece,place
person,place
menu bar food service average beer kf finger food order 30 minute food quality average,service
dance floor zomato dj dance floor thing food quality paneer paneer,place
food nd place pub event food quantity,service
night couple drink schedule place people music bollywood service quality drinj,place
gem place music weekend starter course class complaint waiter care point,place
staff toast order hour piece bread 30 minute thrice cocktail water hint vodka sauce fish side salad sauce main fish service level extent food feeling customer,service
year party place crowd music food,place
food customer service verity cocktail verity beverage place friend family bartender service smile nature customer place place friend,service
night band performance music sufi track band beer lover,service
food service guy food 1 hr,service
food 11 music starter one drink group event,service
place party food drink staff one waiter team 25 people music ambience,place
evening ambiance lil 5*s,service
pleasure food time dessert time tiramisu blueberry cheesecake mouth,service
place service term food ambience match seating area party,service
food lot drink menu count item,service
place desert ambience staff sign washroom entrance,service
food ambience seating service team celebration starter,service
experience place service waiter bunch joker order one place,service
place dining place louge place experience food 4/5 amibence 4/5 bar 3/5 service 4/5 hospitality 2/5 place sittin,place
ambience food music experience paneer chapatis vegetarian friend food taste quantity,service
place weekend ambience staff service choice food beverage experience 5/5 5/5 5/5 place price,service
number time issue time ambience couch floor drink food,service
place friend birthday weekday crowd place chill area day moonsoon food stuff vegeterain one incident day two veg pizza waiter pizza pizza pizza carrot confusion thing veg kitchen veg pork management post wrong plate instance rating experience thing food,place
fun place friend party price food drink song music musician glass glass drink beer mug beer mug,service
visit friend friend recommend behaviour friend thank,service
evening watering hole pizza selection drink music bit seating ear,service
place crowd food 3/5 4/5 service 4.5/5 weekend week party place,place
place party weekend weekday love music alcohol food service place,service
place friend family food hospitality experience,place
interior garden sitout place weekend ginger fish fish,service
place lot time atmosphere music dance floor.taste food bartender sonu customer service smilimg cocktail staff kodus service staff people thank star bartender guy name thank service staff hat chef awasome taste food thank team komatose regard,service
thing cocktail seven sin ambience people bustle bar bar partying bar,place
place service intimation order crispy corn 1 hour place,place
dj crowd weekend drink service dj ambience lot,service
holiday one month place party place team party drunch drink starter weekday karaoke music one party place gacchibowli seating area party place,place
place office party bread crispy corn,place
marriage reception night place lot year timing,service
place 5 star star seating seating evening breeze service staff onion ring pizza fish finger 4/5 service 5/5 food 5/5 drink 4/5 pizza fish finger,service
party place ambience music food service staff party,place
food drink atmosphere it.i buffet drink dance floor,service
bar ambiance mix broccoli cauliflower area problem cab 8:30 pm,place
yesterday beer menu custom menu gold drink menu gold restaurant condition customer dish menu manager dish menu,service
place gachibowli ambience food dance floor,place
place time group hospitality staff host delight personality smile one thing place skipper hope delight,place
ambiance pizza music system ear,place
place part team lunch komatose food buffet seating drink food staff alcohol money time 100 rupee one kinley bottle air condition experience komatose johnathon kitchen place,place
service point restaurant hour order drink starter waiter excuse food hour service hour hour menu customer experience place future,service
place friend beer blast office space care smile day,place
hour hour food portion service lift,service
exp night 22nd komotos eve office colleague exp tonight place friend dine friend staff kitchen ala carte tonight option buffet buffet surprise manager ala carte buffet buffet three ppl fan pita dish menu sayin menu menu hell menu zomato restaurant customer food option vegetarian dessert spread service bread stuff time spoon tissue tissue table pic 3 kid tissue manner face one two dish today,service
place love bar place customer leave mark name plate customer bar bartender customer one place people bar seating arrangement star bartender drink care regular smile whiskey sangria favorite crispy corn signature pizza kitchen party animal place hit lady night drink house place bar saying one bar list,service
dinner family option menu ambience courteousness staff food playing hat chef,service
place food drink ambiance music option buffet carte sitting area appeal recommendation area music,place
buddy beer whole hotel standard area tent music visit sport season,service
place seating music decor service waiter attention drink food liking place advantage face eye,service
2017 place music culture one party music 4 time komatose feel place vibe face eye indoor,place
place dinner service restaurant bar music environment,service
experience place dinner courtesy sense customer reservation team intention business place,service
place package menu detail day event buffet price package courtesy fact manager lady team cancellation party partner director place,place
place memory back mind drink date wife place vive staff ambiance crowd place guy gal place memory,place
staff touch evening ambiance vibe one bar city time company fail food menu world kumbh finger 6,service
table 5.45 datum booking 8.15pm 2 table one 20mins place hiteccitytraffic food,place
work friend place business crowd food bar menu service staff tome extent stuff ambiance home,service
part hospitality need customer service kudo staff service suggestion dish panner buffet complaint guy way u r stuff,service
ambience bar tender lady night one drink service,service
place moment comedy gig place fun band day band pub word food quantity care place thing bouncer person group people birthday place band people dance floor thing place 5 hope,place
experience music ambience music number option veg work schedule,service
place hangout friend ambient music food drink date,service
review one level frustration place one word food service part chain money place one,service
holiday liquor joint office party,place
ambience dance floor music atmosphere class place people peace paneer peanut,place
place ambience cocktail mouth food service place friend family,place
weekend friend bull fyi- seafood lover review perfection way veggie fish taste rice veggie place friend day weekend staff manager selection mood taste,service
night place drizzling atmosphere cabana area bar load space floor area lighting color vibe heart bunch drink 7 sin menu taste menu lust chilli vodka infusion pepper cocktail glass appetizer alcohol prawn shrimp fish order item portion size price kid mocktail mind blowing fruit flavor apple lime peach round sugar rush drink service music dj music station freedom song place match screening party mood comatose winking face score food 3.5/5 3.5/5 3.5/5 3.5/5,place
visit koma time drink place time cabana door freak music time gang drink thank guy drink 5/5 5/5 weekend drink 5/5,service
couple time seating seating food place friend chill expectation quality food,place
option zero place friend hour food drink friend whiskey mocktail sugar syrup food portion kid one go item surprise bill group matching number drink integrity issue amount time place place,service
management place hour timing toss disposal time mood day drink thing,service
place friend experience dj music space space friend air service customer satisfaction cocktail base whiterum brandy lime one 7 sin mocktail blackcurrent lime request starter fish chicken prawn dish experience,service
food ambience bill lunch,place
week day evening music night weather number one request food time part counter butter cook counter paneer veg roll paneer one main lot option pizza try dessert spread dessert blueberry cake fruit cake orange cake burfi place gala time,service
day night music wind company music setting unwind food vegetable corn mention dessert cake pastry time food,service
place screen deal peanut weekend rush,service
ambiance district restaurant staff place time lunch verity option lunch food lunch 1000 person place dinner option dinner buffet dinner buffet guest 700 person carte bar day 4 pm 8 pm hour gold option,place
star food drink service attitude staff luck person order table food accompaniment drink food zero star service,service
place music ambience food pizza part dnt night track,place
